artist,track,album,label,
Swans,Can't Find My Way Home,The Burning World,UNI Records,
Bill Callahan,Stepping Out For Air,My Days of 58,Drag City,
The Velvet Underground,Sweet Jane,Loaded,Cotillion,
Perfume Genius,It's a Mirror,Glory,Matador,
Olive Jones,Kingdom,For Mary,,
Stereolab,Flashes In The Afternoon,Cloud Land / Flashes In The Afternoon,Duophonic UHF Disks / Warp Records,
Spoon,Guess I'm Fallin In Love,Chateau Blues,Matador,
Little Barrie,More Bad Miles Of Road,More Bad Miles Of Road,,
The Wedding Present,Big Rat,Watusi,Island Records / UMC,
Matt Berninger,Blue Monday,Blue Monday,Concord Records,
This Is Lorelei,Holo Boy,Holo Boy,Double Double Whammy,
Spoon,I Turn My Camera On,Gimme Fiction,Merge Records,
Guided By Voices,We Outlast Them All,We Outlast Them All,Rockathon,
Low Cut Connie,Livin in the USA,Livin in the USA,,
Twisted Teens,Circus Clown,Blame the Clown,Jazz Life,
Death Cab for Cutie,Riptides,Riptides,Atlantic,
Toadies,The Charmer,The Charmer,,
Spoon,Anything You Want,Girls Can Tell,Merge Records,
Thee Oh Sees,Joro,Cara Maluco,,
Suki Waterhouse,Back in Love,Back in Love,Sub Pop Records,
U.S. Girls,"You've Got Everything - But A Smile (Theme from ""Dead Lover"")","You've Got Everything - But A Smile (Theme from ""Dead Lover"")",,
Future Islands,Sail,Sail / Find Love,4AD,
Widowspeak,If You Change,If You Change,,
Cate Le Bon,Are You with Me Now?,Mug Museum,Turnstile,
Karen Dalton,Something On Your Mind,In My Own Time,,
Mandy, Indiana,Dodecahedron,,Sacred Bones
Mitski,Where's My Phone?,Nothing's About To Happen To Me,Dead Oceans,
Gelli Haha,Klouds Will Carry Me To Sleep,Switcheroo,Innovative Leisure,
John Prine,In Spite of Ourselves (feat. Iris DeMent),In Spite of Ourselves,Oh Boy Records,
Father John Misty,Heart-Shaped Box - Sirius XM Session,"I Love You, Honeybear Demos, etc.",Sub Pop,
Lord Huron,Vide Noir,Vide Noir,Whispering Pines / Republic,
Aldous Harding,The Barrel,Designer,4AD,
Sluice,Beadie,Companion,Seasick Records,
Sluice,Zillow,Companion,Seasick Records,
Angine de Poitrine,Mata Zyklek,Vol.II,self,
Lava La Rue,Scratches,Starface,Dirty Hit,
Royel Otis,Sweet Hallelujah,Sweet Hallelujah,self,
The Strokes,Going Shopping,Going Shopping,RCA Records,
Queens of the Stone Age,I Sat by the Ocean,...Like Clockwork,Matador,
Twisted Teens,Who Could It Be?,Blame the Clown,Jazz Life,
Kurt Vile,Chance to Bleed,Chance to Bleed,Verve,
Fontaines D.C. & War Child Records,Black Boys on Mopeds,HELP(2),War Child Records,
Aldous Harding & H. Hawkline,Venus in the Zinnia,Venus in the Zinnia,4AD,
Buck Meek,Gasoline,The Mirror,4AD,
This Is Lorelei & Waxahatchee,Where’s Your Love Now (Waxahatchee Version),Where’s Your Love Now (Waxahatchee Version),,
Cut Worms,Shut In,Shut In,,
Thee Oh Sees,Joro,Cara Maluco,,
Massive Attack feat. Tom Waits,Boots on the Ground,Boots on the Ground,PIAS,
Jack White,G.O.D. And The Broken Ribs,G.O.D. And The Broken Ribs / Derecho Demonico,,
Fruit Bats,The Landfill,The Landfill,Merge Records,
